City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,mindresti,47.5072,28.2769,75.94,49,89,2.33,MD,1723052837
165,arilje,43.7531,20.0956,80.96,46,80,4.09,RS,1723052838
166,noumea,-22.2763,166.4572,70.0,99,100,9.28,NC,1723052839
167,ballina,-28.8667,153.5667,48.78,70,15,7.63,AU,1723052840
168,taltal,-25.4,-70.4833,60.67,66,1,8.43,CL,1723052841
169,vila velha,-20.3297,-40.2925,82.35,68,20,16.11,BR,1723052623
170,porbandar,21.6422,69.6093,82.18,83,100,18.32,IN,1723052844
171,narathiwat,6.3333,101.75,74.82,94,73,3.36,TH,1723052845
172,hobyo,5.3505,48.5268,76.23,87,85,22.35,SO,1723052846
173,boa vista,2.8197,-60.6733,87.78,58,40,6.91,BR,1723052847
174,morki,56.4303,48.9947,61.12,97,67,4.92,RU,1723052848
175,carhuaz,-9.2819,-77.6447,70.68,21,27,6.15,PE,1723052849
176,nogliki,51.8333,143.1667,55.45,97,100,8.03,RU,1723052850
177,huaicheng,23.9051,112.1931,79.93,78,5,0.78,CN,1723052855
178,haiku-pauwela,20.9219,-156.3051,77.25,79,14,8.01,US,1723052856
179,homer,59.6425,-151.5483,60.69,73,100,6.91,US,1723052858
180,bhor,18.1667,73.85,73.65,97,100,7.38,IN,1723052859
181,mount pearl,47.5166,-52.7813,71.46,60,75,19.57,CA,1723052860
182,adam,22.3756,57.5233,91.99,47,59,13.91,OM,1723052861
183,eyl,7.9803,49.8164,78.1,82,19,27.81,SO,1723052863
184,nasrullahganj,22.6833,77.2667,77.0,88,99,6.49,IN,1723052864
185,hasaki,35.7333,140.8333,79.2,90,100,4.18,JP,1723052865
186,tchintabaraden,15.8969,5.7985,91.49,42,95,11.43,NE,1723052867
187,broadstairs,51.3591,1.4394,67.77,65,100,1.01,GB,1723052869
188,cam ranh,11.9214,109.1591,84.16,79,20,2.3,VN,1723052870
189,charlottetown,46.2352,-63.1267,75.78,50,75,12.66,CA,1723052872
190,karratha,-20.7377,116.8463,69.39,38,2,8.25,AU,1723052873
191,hirara,24.8,125.2833,82.67,100,100,6.91,JP,1723052876
192,castillos,-34.1667,-53.8333,59.4,64,100,12.68,UY,1723052877
193,saint-pierre,-21.3393,55.4781,67.68,73,0,8.05,RE,1723052878
194,hovd,48.0056,91.6419,67.23,40,99,2.44,MN,1723052880
195,cacheu,12.2706,-16.1658,80.69,77,94,10.78,GW,1723052882
196,abadan,30.3392,48.3043,102.15,19,0,6.91,IR,1723052884
197,jamestown,42.097,-79.2353,75.56,59,75,11.5,US,1723052885
198,embi,48.8264,58.1442,82.02,43,10,6.78,KZ,1723052886
