City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,tanout,14.9709,8.8879,80.98,65,100,13.44,NE,1723163573
172,nemuro,43.3236,145.575,67.75,95,100,9.44,JP,1723163574
173,port-vila,-17.7338,168.3219,78.4,65,75,14.97,VU,1723163575
174,uberaba,-19.7483,-47.9319,81.18,26,0,0.0,BR,1723163576
175,broken hill,-31.95,141.4333,60.93,42,3,3.27,AU,1723163520
176,hermanus,-34.4187,19.2345,54.41,80,18,31.32,ZA,1723163578
177,kupang,-10.1667,123.5833,81.18,74,20,9.22,ID,1723163580
178,puerto baquerizo moreno,-0.9,-89.6,67.41,76,75,12.8,EC,1723163581
179,rosarito,32.3333,-117.0333,70.05,74,25,7.02,MX,1723163583
180,dishna,26.1247,32.476,91.18,21,9,2.59,EG,1723163584
181,mana,5.6592,-53.7767,79.07,87,24,11.68,GF,1723163585
182,iquique,-20.2208,-70.1431,60.21,76,63,0.49,CL,1723163486
183,kidal,18.4411,1.4078,91.8,37,88,8.5,ML,1723163587
184,upington,-28.4478,21.2561,46.78,34,0,8.05,ZA,1723163588
185,vila franca do campo,37.7167,-25.4333,64.89,99,0,4.27,PT,1723163589
186,eastham,41.8301,-69.9739,65.95,95,100,6.91,US,1723163590
187,liberal,37.0431,-100.921,77.14,65,20,14.97,US,1723163591
188,mostaganem,35.9311,0.0892,76.05,92,98,4.99,DZ,1723163592
189,waupaca,44.358,-89.086,71.47,37,0,10.36,US,1723163517
190,saint-philippe,-21.3585,55.7679,69.04,78,84,10.31,RE,1723163366
191,boca suno,-0.7167,-77.1333,76.33,74,24,0.89,EC,1723163596
192,envira,-7.3,-70.2167,79.05,64,22,3.15,BR,1723163597
193,afaahiti,-17.75,-149.2833,75.22,88,51,14.74,PF,1723163526
194,wewak,-3.5534,143.6268,84.42,67,7,6.38,PG,1723163599
195,tarandacuao,20.0,-100.5333,70.36,66,100,2.42,MX,1723163600
196,dryden,49.7833,-92.7503,53.89,94,100,8.05,CA,1723163601
197,dudinka,69.4058,86.1778,49.66,64,18,18.23,RU,1723163603
198,carnarvon,-24.8667,113.6333,65.77,46,0,12.97,AU,1723163606
199,manokwari,-0.8667,134.0833,82.92,69,97,3.11,ID,1723163607
200,dunedin,-45.8742,170.5036,48.31,67,3,4.52,NZ,1723163608
201,port lincoln,-34.7333,135.8667,57.34,70,98,7.87,AU,1723163609
202,humahuaca,-23.2054,-65.3505,44.92,11,0,14.32,AR,1723163611
203,aasiaat,68.7098,-52.8699,36.91,94,77,5.68,GL,1723163612
204,queenstown,-31.8976,26.8753,54.12,17,0,20.83,ZA,1723163613
205,al jawf,29.5,38.75,78.87,25,0,8.52,SA,1723163614
206,alofi,-19.0595,-169.9187,76.89,47,40,16.11,NU,1723163615
207,ndele,8.4109,20.6473,68.88,96,100,1.21,CF,1723163617
208,yaren,-0.5472,166.916,83.05,69,100,6.76,NR,1723163618
209,st. john's,47.5649,-52.7093,63.79,69,75,10.36,CA,1723163619
210,viedma,-40.8135,-62.9967,39.97,56,1,9.06,AR,1723163455
211,khovd,48.0056,91.6419,70.63,35,21,5.1,MN,1723163621
212,cabo san lucas,22.8909,-109.9124,89.91,59,0,23.02,MX,1723163395
213,hobyo,5.3505,48.5268,76.68,78,100,24.7,SO,1723163623
214,new norfolk,-42.7826,147.0587,52.03,66,100,4.5,AU,1723163624
215,salekhard,66.53,66.6019,47.1,81,9,8.41,RU,1723163625
216,tetbury,51.6394,-2.1622,62.55,95,100,16.93,GB,1723163626
217,arraial do cabo,-22.9661,-42.0278,69.76,100,0,4.61,BR,1723163488
218,minzhu,43.7286,127.3447,75.87,85,97,3.04,CN,1723163629
219,waingapu,-9.6567,120.2641,81.81,62,0,16.64,ID,1723163630
220,mont-laurier,46.5501,-75.4993,62.62,95,100,4.79,CA,1723163631
221,mejit,10.2753,170.8646,82.94,79,66,17.05,MH,1723163632
222,gwaram,11.2764,9.8858,73.67,88,100,6.44,NG,1723163633
223,remire-montjoly,4.9167,-52.2667,80.64,89,20,3.44,GF,1723163634
224,sitka,57.0531,-135.33,64.29,77,20,4.61,US,1723163635
225,ketchikan,55.3422,-131.6461,75.67,43,0,9.22,US,1723163637
226,nuuk,64.1835,-51.7216,39.81,93,100,4.61,GL,1723163533
227,umm kaddadah,13.6017,26.6876,78.24,70,100,6.6,SD,1723163640
228,lulea,65.5842,22.1547,59.07,100,100,1.14,SE,1723163641
229,savelugu,9.6244,-0.8253,77.02,80,100,5.84,GH,1723163642
230,gemena,3.25,19.7667,71.98,94,100,2.46,CD,1723163643
231,faranah,10.0404,-10.7434,71.17,98,100,6.78,GN,1723163644
232,adre,13.4667,22.2,68.41,96,100,2.57,TD,1723163645
233,bogale,16.2833,95.4,80.56,85,66,2.89,MM,1723163646
234,huicungo,-7.2833,-76.8,72.37,93,45,3.36,PE,1723163647
235,rabo de peixe,37.8,-25.5833,71.11,99,20,8.05,PT,1723163649
236,keflavik,64.0049,-22.5624,50.43,93,100,6.91,IS,1723163650
237,ambodifotatra,-16.9833,49.85,73.45,71,6,6.38,MG,1723163651
238,tazovsky,67.4667,78.7,44.4,79,14,13.38,RU,1723163652
239,marsabit,2.3284,37.9899,60.98,78,63,17.13,KE,1723163653
240,taksimo,56.3444,114.8794,71.13,58,99,0.96,RU,1723163656
241,puente alto,-33.6167,-70.5833,52.0,65,0,9.19,CL,1723163657
242,itacare,-14.2775,-38.9967,71.01,80,0,1.12,BR,1723163658
243,vorgashor,67.5833,63.95,46.8,75,7,3.15,RU,1723163659
244,cambria,35.5641,-121.0808,64.13,72,33,8.5,US,1723163660
245,aiquile,-18.2041,-65.1807,52.47,91,75,4.36,BO,1723163662
